"n_pubs","A0","Ap","pct_slower","qos"
1,94.5816380502632,0.00172632339017154,0,0
2,105.977046532362,0.00192415182878074,11.4595237332412,0
4,118.746789635048,0.00223292188109516,29.3455150876039,0
8,132.442444012364,0.00269085228647182,55.8718547053019,0
16,113.809726563505,0.0051510776722831,198.384283130825,0
32,74.2740075757882,0.0110958593218923,542.74511861823,0
64,145.617058967591,0.0283584238455991,1542.70634384333,0
128,441.021882743677,0.0225332566408375,1205.27436337397,0
1,93.9452830968038,0.00174262695437262,0,1
2,109.835054897268,0.00191591674471009,9.94417020250049,1
4,122.067360463553,0.00219629884669494,26.0337929000787,1
8,131.378162506776,0.00274871738623952,57.7341254444851,1
16,115.641875768111,0.00503427143054143,188.88979468092,1
32,124.297169999883,0.0109788134733291,530.015130075941,1
64,172.161332410851,0.0446181518702614,2460.39605942655,1
128,-63.145661480055,0.0430205914357675,2368.72064774504,1
1,285.816189414805,0.00239632400042075,0,2
2,375.1906496395,0.0021601731519179,-9.85471282102857,2
4,392.865010361678,0.00226065631674,-5.66149167044697,2
8,392.006915541823,0.00348800533316945,45.5564995617049,2
16,422.993111242495,0.0057834031662418,141.344791656986,2
32,346.293293623034,0.0198888183955185,729.972006791503,2
64,826.948137544783,0.100621158884356,4098.97972338836,2
128,2802.9594166023,0.973740483957173,40534.7590637244,2
